hourOfDay,dayOfWeek,bayOccupied,recentAvgCurrent,sessionElapsedMin,historicalArrivalRate,arrivedWithinWindow,actualDurationMin
11,2,1,15.52,60.8,0.3,0,211.7
2,4,0,0.0,0.0,0.05,0,0.0
13,1,0,0.0,0.0,0.3,1,0.0
9,0,0,0.0,0.0,0.55,1,0.0
7,5,0,0.0,0.0,0.2,0,0.0
0,6,0,0.0,0.0,0.05,0,0.0
16,0,0,0.0,0.0,0.3,0,0.0
20,2,1,16.45,25.4,0.6,1,628.9
19,6,0,0.0,0.0,0.5,1,0.0
6,2,0,0.0,0.0,0.2,1,0.0
0,4,0,0.0,0.0,0.05,0,0.0
3,5,0,0.0,0.0,0.05,0,0.0
9,0,1,25.03,34.6,0.55,0,374.0
4,4,0,0.0,0.0,0.05,0,0.0
1,2,0,0.0,0.0,0.05,0,0.0
3,1,0,0.0,0.0,0.05,0,0.0
10,5,0,0.0,0.0,0.65,1,0.0
7,6,0,0.0,0.0,0.2,0,0.0
11,1,0,0.0,0.0,0.3,0,0.0
0,6,0,0.0,0.0,0.05,0,0.0
11,3,0,0.0,0.0,0.3,0,0.0
4,6,0,0.0,0.0,0.05,0,0.0
8,5,1,12.27,5.0,0.65,1,387.0
13,4,0,0.0,0.0,0.3,0,0.0
21,6,0,0.0,0.0,0.5,0,0.0
22,2,0,0.0,0.0,0.2,0,0.0
8,4,1,11.95,73.1,0.65,0,579.3
5,1,0,0.0,0.0,0.05,0,0.0
16,2,1,9.38,109.8,0.3,0,558.9
5,4,0,0.0,0.0,0.05,0,0.0
10,5,1,15.85,10.8,0.65,0,424.6
7,0,0,0.0,0.0,0.2,0,0.0
22,2,1,17.72,102.7,0.2,0,266.5
15,2,1,6.0,67.2,0.3,0,1179.8
18,6,1,20.37,18.3,0.5,1,658.7
9,2,1,17.94,23.6,0.65,1,403.7
22,2,1,12.91,50.1,0.2,0,844.9
4,2,0,0.0,0.0,0.05,0,0.0
7,1,0,0.0,0.0,0.2,0,0.0
23,5,0,0.0,0.0,0.2,0,0.0
4,5,0,0.0,0.0,0.05,0,0.0
15,1,1,9.32,4.0,0.3,0,1046.0
4,3,0,0.0,0.0,0.05,0,0.0
2,6,1,23.06,79.9,0.05,0,288.6
20,3,1,16.67,165.2,0.6,0,166.0
16,1,1,12.1,14.1,0.3,0,352.6
8,5,1,17.19,24.6,0.65,1,382.5
17,4,0,0.0,0.0,0.3,0,0.0
1,0,0,0.0,0.0,0.05,0,0.0
11,6,1,18.49,6.8,0.3,0,619.4
7,1,0,0.0,0.0,0.2,0,0.0
6,1,0,0.0,0.0,0.2,0,0.0
13,1,1,10.26,60.3,0.3,0,651.8
10,3,1,18.32,15.9,0.65,1,334.5
23,5,1,11.07,29.8,0.2,0,1009.4
12,2,1,16.58,66.3,0.3,0,365.4
0,0,0,0.0,0.0,0.05,0,0.0
6,2,0,0.0,0.0,0.2,0,0.0
11,2,1,10.72,40.1,0.3,0,738.5
18,6,0,0.0,0.0,0.5,0,0.0
21,5,0,0.0,0.0,0.6,0,0.0
11,6,0,0.0,0.0,0.3,1,0.0
14,1,0,0.0,0.0,0.3,0,0.0
20,5,0,0.0,0.0,0.6,1,0.0
20,6,1,15.1,116.2,0.5,0,100.7
19,6,1,10.9,33.3,0.5,1,314.4
4,2,0,0.0,0.0,0.05,0,0.0
11,6,1,21.66,34.9,0.3,0,97.9
0,4,0,0.0,0.0,0.05,0,0.0
22,2,0,0.0,0.0,0.2,1,0.0
22,4,0,0.0,0.0,0.2,0,0.0
2,2,0,0.0,0.0,0.05,0,0.0
16,4,1,13.29,29.4,0.3,0,443.5
6,3,0,0.0,0.0,0.2,1,0.0
2,4,0,0.0,0.0,0.05,0,0.0
3,1,0,0.0,0.0,0.05,1,0.0
0,4,0,0.0,0.0,0.05,0,0.0
16,0,0,0.0,0.0,0.3,1,0.0
4,4,0,0.0,0.0,0.05,0,0.0
6,6,0,0.0,0.0,0.2,0,0.0
12,1,1,9.92,212.8,0.3,0,430.2
20,2,1,13.51,11.8,0.6,0,921.1
4,4,0,0.0,0.0,0.05,0,0.0
8,2,1,13.78,33.5,0.65,0,809.8
16,2,0,0.0,0.0,0.3,1,0.0
23,4,0,0.0,0.0,0.2,0,0.0
13,4,1,18.17,94.5,0.3,0,244.7
1,3,0,0.0,0.0,0.05,0,0.0
4,1,0,0.0,0.0,0.05,0,0.0
15,4,0,0.0,0.0,0.3,0,0.0
17,4,0,0.0,0.0,0.3,0,0.0
2,1,0,0.0,0.0,0.05,0,0.0
0,5,0,0.0,0.0,0.05,0,0.0
0,2,0,0.0,0.0,0.05,0,0.0
10,4,1,20.33,51.3,0.65,1,240.3
4,2,0,0.0,0.0,0.05,0,0.0
22,1,1,17.47,18.4,0.2,0,253.8
11,6,1,14.43,4.0,0.3,0,396.9
1,3,1,20.75,76.8,0.05,0,557.8
21,3,1,15.05,66.3,0.6,0,59.6
16,1,0,0.0,0.0,0.3,1,0.0
23,2,0,0.0,0.0,0.2,0,0.0
14,4,0,0.0,0.0,0.3,0,0.0
19,4,1,20.55,3.1,0.6,0,241.8
1,5,0,0.0,0.0,0.05,0,0.0
2,4,0,0.0,0.0,0.05,0,0.0
10,3,0,0.0,0.0,0.65,1,0.0
19,5,1,14.17,91.1,0.6,0,35.5
15,4,0,0.0,0.0,0.3,0,0.0
4,2,0,0.0,0.0,0.05,0,0.0
5,6,0,0.0,0.0,0.05,0,0.0
16,0,0,0.0,0.0,0.3,0,0.0
11,2,0,0.0,0.0,0.3,1,0.0
16,4,0,0.0,0.0,0.3,0,0.0
13,1,0,0.0,0.0,0.3,0,0.0
11,4,0,0.0,0.0,0.3,0,0.0
19,5,1,10.3,0.1,0.6,1,396.2
21,5,1,18.42,40.2,0.6,1,237.4
20,1,1,19.61,22.7,0.6,0,65.3
5,0,1,21.1,29.5,0.05,0,310.3
13,6,0,0.0,0.0,0.3,0,0.0
19,0,1,12.49,0.4,0.5,1,462.3
12,3,1,16.15,17.5,0.3,0,141.0
17,6,1,21.6,8.2,0.3,0,489.8
8,6,1,19.7,16.0,0.55,0,134.1
19,5,1,24.62,29.8,0.6,1,194.9
2,6,0,0.0,0.0,0.05,0,0.0
10,1,1,20.69,12.8,0.65,0,317.2
18,6,1,13.75,61.4,0.5,1,197.0
18,5,1,15.67,35.2,0.6,1,418.3
21,6,1,15.63,82.6,0.5,1,348.3
11,5,0,0.0,0.0,0.3,1,0.0
16,2,0,0.0,0.0,0.3,0,0.0
20,1,1,18.01,93.0,0.6,0,89.1
18,2,1,20.99,20.0,0.6,1,238.4
7,3,0,0.0,0.0,0.2,1,0.0
11,5,0,0.0,0.0,0.3,1,0.0
4,5,0,0.0,0.0,0.05,0,0.0
14,5,0,0.0,0.0,0.3,1,0.0
1,6,0,0.0,0.0,0.05,0,0.0
1,2,0,0.0,0.0,0.05,0,0.0
7,3,1,15.49,157.5,0.2,0,445.8
21,5,1,15.35,26.8,0.6,0,417.3
21,3,1,11.42,41.9,0.6,0,447.9
23,3,0,0.0,0.0,0.2,0,0.0
5,3,0,0.0,0.0,0.05,1,0.0
13,1,1,11.05,11.8,0.3,0,667.1
4,0,0,0.0,0.0,0.05,1,0.0
9,3,0,0.0,0.0,0.65,0,0.0
10,5,0,0.0,0.0,0.65,1,0.0
6,6,0,0.0,0.0,0.2,0,0.0
22,3,0,0.0,0.0,0.2,1,0.0
12,3,0,0.0,0.0,0.3,1,0.0
22,1,1,18.52,59.1,0.2,0,495.7
21,6,0,0.0,0.0,0.5,0,0.0
10,1,1,17.49,12.6,0.65,0,268.7
13,3,0,0.0,0.0,0.3,1,0.0
15,5,0,0.0,0.0,0.3,0,0.0
1,1,0,0.0,0.0,0.05,0,0.0
0,0,0,0.0,0.0,0.05,0,0.0
20,4,1,18.03,5.2,0.6,1,307.1
5,2,0,0.0,0.0,0.05,0,0.0
8,6,1,15.31,76.6,0.55,0,789.8
6,6,0,0.0,0.0,0.2,0,0.0
0,0,0,0.0,0.0,0.05,0,0.0
5,1,0,0.0,0.0,0.05,0,0.0
13,1,0,0.0,0.0,0.3,0,0.0
20,1,0,0.0,0.0,0.6,0,0.0
20,4,1,16.06,21.5,0.6,1,310.3
3,6,0,0.0,0.0,0.05,0,0.0
13,1,0,0.0,0.0,0.3,0,0.0
20,6,1,16.52,102.2,0.5,1,735.6
20,4,1,17.52,4.8,0.6,1,268.3
14,3,0,0.0,0.0,0.3,1,0.0
3,5,0,0.0,0.0,0.05,0,0.0
3,1,0,0.0,0.0,0.05,0,0.0
11,1,0,0.0,0.0,0.3,1,0.0
23,0,0,0.0,0.0,0.2,0,0.0
3,3,0,0.0,0.0,0.05,0,0.0
0,3,1,20.82,45.1,0.05,0,89.5
8,6,1,17.54,23.8,0.55,1,122.6
4,3,0,0.0,0.0,0.05,0,0.0
6,1,0,0.0,0.0,0.2,0,0.0
9,0,1,15.68,7.5,0.55,1,397.7
15,4,0,0.0,0.0,0.3,0,0.0
10,1,1,20.37,45.0,0.65,0,321.2
2,6,0,0.0,0.0,0.05,0,0.0
21,4,1,18.28,53.1,0.6,0,113.1
3,4,0,0.0,0.0,0.05,0,0.0
7,0,1,22.51,19.7,0.2,0,308.6
4,3,0,0.0,0.0,0.05,0,0.0
5,1,0,0.0,0.0,0.05,0,0.0
2,5,0,0.0,0.0,0.05,0,0.0
1,5,0,0.0,0.0,0.05,0,0.0
19,5,1,12.04,142.3,0.6,1,696.2
22,3,0,0.0,0.0,0.2,0,0.0
19,2,0,0.0,0.0,0.6,1,0.0
18,5,0,0.0,0.0,0.6,0,0.0
11,0,0,0.0,0.0,0.3,0,0.0
5,5,0,0.0,0.0,0.05,0,0.0
0,4,0,0.0,0.0,0.05,0,0.0
1,4,1,18.52,16.3,0.05,0,484.3
1,2,0,0.0,0.0,0.05,0,0.0
2,3,0,0.0,0.0,0.05,0,0.0
17,6,1,8.02,69.4,0.3,0,918.7
5,1,0,0.0,0.0,0.05,0,0.0
9,5,1,20.87,6.9,0.65,1,460.2
20,2,1,16.2,53.4,0.6,0,295.9
21,0,0,0.0,0.0,0.5,1,0.0
13,5,0,0.0,0.0,0.3,1,0.0
2,0,0,0.0,0.0,0.05,0,0.0
1,4,1,16.68,6.5,0.05,0,101.1
19,1,1,16.2,85.8,0.6,1,820.0
18,4,0,0.0,0.0,0.6,1,0.0
1,5,0,0.0,0.0,0.05,1,0.0
23,6,0,0.0,0.0,0.2,1,0.0
2,4,0,0.0,0.0,0.05,0,0.0
18,6,0,0.0,0.0,0.5,1,0.0
3,3,0,0.0,0.0,0.05,0,0.0
6,3,0,0.0,0.0,0.2,0,0.0
5,6,0,0.0,0.0,0.05,0,0.0
2,6,0,0.0,0.0,0.05,0,0.0
6,4,0,0.0,0.0,0.2,0,0.0
22,1,1,15.08,24.4,0.2,0,166.5
23,6,0,0.0,0.0,0.2,0,0.0
17,4,0,0.0,0.0,0.3,0,0.0
12,3,0,0.0,0.0,0.3,1,0.0
10,6,1,18.93,13.9,0.55,1,668.7
19,4,1,11.05,69.2,0.6,1,133.7
23,0,0,0.0,0.0,0.2,0,0.0
15,4,1,18.35,119.9,0.3,0,517.8
21,0,0,0.0,0.0,0.5,1,0.0
23,4,1,18.03,60.2,0.2,1,195.9
7,0,0,0.0,0.0,0.2,0,0.0
18,2,1,10.61,141.1,0.6,0,425.9
18,6,0,0.0,0.0,0.5,1,0.0
4,4,0,0.0,0.0,0.05,0,0.0
9,5,1,12.11,32.5,0.65,0,148.9
14,1,1,19.85,13.3,0.3,0,454.8
11,2,0,0.0,0.0,0.3,0,0.0
20,6,1,15.79,43.1,0.5,1,607.2
7,1,1,24.22,20.9,0.2,0,296.1
19,4,1,11.59,30.8,0.6,1,637.7
22,6,0,0.0,0.0,0.2,0,0.0
17,4,0,0.0,0.0,0.3,0,0.0
7,5,0,0.0,0.0,0.2,0,0.0
11,2,1,22.92,63.0,0.3,1,338.9
14,3,0,0.0,0.0,0.3,1,0.0
18,6,0,0.0,0.0,0.5,0,0.0
10,4,1,17.2,32.0,0.65,1,618.1
6,3,0,0.0,0.0,0.2,0,0.0
14,1,0,0.0,0.0,0.3,0,0.0
11,4,0,0.0,0.0,0.3,1,0.0
2,1,0,0.0,0.0,0.05,0,0.0
20,5,1,17.11,9.4,0.6,0,481.6
21,3,0,0.0,0.0,0.6,1,0.0
1,4,0,0.0,0.0,0.05,0,0.0
18,6,1,21.82,94.2,0.5,0,42.3
19,1,0,0.0,0.0,0.6,1,0.0
4,5,0,0.0,0.0,0.05,0,0.0
20,1,1,16.72,19.8,0.6,0,150.9
23,4,0,0.0,0.0,0.2,0,0.0
3,5,0,0.0,0.0,0.05,0,0.0
18,6,1,12.66,17.5,0.5,1,551.5
12,3,0,0.0,0.0,0.3,0,0.0
3,2,0,0.0,0.0,0.05,0,0.0
22,0,0,0.0,0.0,0.2,1,0.0
19,0,1,16.76,59.9,0.5,0,34.1
19,6,1,18.31,23.7,0.5,0,239.3
15,4,1,13.89,20.2,0.3,0,392.4
18,4,1,19.09,86.2,0.6,0,249.9
4,3,0,0.0,0.0,0.05,0,0.0
4,3,0,0.0,0.0,0.05,0,0.0
6,6,0,0.0,0.0,0.2,0,0.0
3,5,1,18.91,11.5,0.05,0,358.8
23,3,1,15.3,1.7,0.2,0,745.7
23,1,0,0.0,0.0,0.2,0,0.0
9,0,0,0.0,0.0,0.55,1,0.0
12,3,1,16.41,2.9,0.3,0,128.2
5,6,0,0.0,0.0,0.05,0,0.0
10,3,1,11.48,96.2,0.65,1,604.7
13,0,0,0.0,0.0,0.3,0,0.0
4,2,0,0.0,0.0,0.05,0,0.0
16,2,1,13.57,132.2,0.3,0,0.0
22,0,0,0.0,0.0,0.2,1,0.0
1,3,0,0.0,0.0,0.05,0,0.0
21,0,1,22.52,3.8,0.5,0,216.3
4,1,0,0.0,0.0,0.05,0,0.0
9,1,0,0.0,0.0,0.65,1,0.0
6,5,0,0.0,0.0,0.2,0,0.0
5,3,0,0.0,0.0,0.05,0,0.0
18,6,1,22.33,18.7,0.5,1,140.2
7,4,0,0.0,0.0,0.2,1,0.0
13,2,0,0.0,0.0,0.3,0,0.0
16,6,0,0.0,0.0,0.3,1,0.0
2,3,0,0.0,0.0,0.05,0,0.0
5,6,0,0.0,0.0,0.05,0,0.0
17,2,0,0.0,0.0,0.3,0,0.0
23,3,0,0.0,0.0,0.2,0,0.0
8,3,1,17.1,16.9,0.65,0,400.1
7,1,1,19.34,53.6,0.2,0,223.7
10,5,1,14.29,10.2,0.65,0,456.8
15,2,1,12.56,72.1,0.3,0,68.6
22,4,0,0.0,0.0,0.2,0,0.0
3,3,0,0.0,0.0,0.05,0,0.0
22,2,0,0.0,0.0,0.2,1,0.0
3,0,0,0.0,0.0,0.05,0,0.0
4,2,0,0.0,0.0,0.05,0,0.0
19,5,1,20.57,55.7,0.6,0,478.2
11,3,1,16.28,13.2,0.3,1,152.5
0,4,0,0.0,0.0,0.05,0,0.0
18,6,1,20.17,42.8,0.5,0,336.5
11,2,0,0.0,0.0,0.3,1,0.0
0,3,0,0.0,0.0,0.05,0,0.0
2,3,0,0.0,0.0,0.05,0,0.0
19,3,0,0.0,0.0,0.6,1,0.0
2,3,0,0.0,0.0,0.05,0,0.0
14,6,1,17.37,64.8,0.3,0,238.6
2,3,0,0.0,0.0,0.05,0,0.0
0,5,0,0.0,0.0,0.05,0,0.0
1,5,0,0.0,0.0,0.05,0,0.0
7,5,0,0.0,0.0,0.2,0,0.0
13,2,0,0.0,0.0,0.3,1,0.0
23,5,0,0.0,0.0,0.2,0,0.0
15,0,1,16.88,108.7,0.3,0,75.2
12,6,0,0.0,0.0,0.3,0,0.0
22,0,0,0.0,0.0,0.2,0,0.0
13,5,1,16.34,3.2,0.3,0,374.8
20,2,1,13.68,59.0,0.6,0,499.8
7,1,0,0.0,0.0,0.2,0,0.0
8,6,1,13.77,34.1,0.55,0,317.1
17,4,0,0.0,0.0,0.3,1,0.0
19,4,1,9.23,5.5,0.6,1,778.6
2,0,0,0.0,0.0,0.05,0,0.0
7,4,0,0.0,0.0,0.2,1,0.0
21,3,1,14.6,6.7,0.6,0,383.1
19,0,0,0.0,0.0,0.5,1,0.0
6,3,1,14.58,21.8,0.2,0,469.2
23,1,0,0.0,0.0,0.2,0,0.0
7,6,0,0.0,0.0,0.2,0,0.0
17,0,1,15.26,41.7,0.3,0,98.9
16,2,1,9.63,42.5,0.3,0,587.8
5,0,1,14.76,11.1,0.05,0,503.4
9,2,1,12.99,14.6,0.65,0,194.2
23,4,0,0.0,0.0,0.2,0,0.0
8,6,1,14.4,54.5,0.55,1,57.3
18,3,0,0.0,0.0,0.6,1,0.0
12,3,0,0.0,0.0,0.3,1,0.0
6,3,0,0.0,0.0,0.2,1,0.0
13,6,0,0.0,0.0,0.3,0,0.0
16,6,0,0.0,0.0,0.3,1,0.0
3,5,0,0.0,0.0,0.05,0,0.0
4,2,0,0.0,0.0,0.05,0,0.0
16,0,0,0.0,0.0,0.3,1,0.0
8,6,1,13.39,46.7,0.55,0,482.5
9,5,1,17.53,110.0,0.65,0,316.9
5,2,0,0.0,0.0,0.05,0,0.0
16,0,0,0.0,0.0,0.3,1,0.0
0,6,0,0.0,0.0,0.05,1,0.0
20,5,1,18.55,18.9,0.6,1,156.9
20,5,0,0.0,0.0,0.6,1,0.0
12,6,0,0.0,0.0,0.3,0,0.0
11,1,0,0.0,0.0,0.3,0,0.0
11,6,0,0.0,0.0,0.3,1,0.0
10,1,1,21.59,1.3,0.65,0,247.3
4,0,0,0.0,0.0,0.05,0,0.0
9,3,1,28.35,0.3,0.65,1,357.5
16,0,0,0.0,0.0,0.3,0,0.0
1,3,0,0.0,0.0,0.05,0,0.0
3,0,0,0.0,0.0,0.05,0,0.0
23,2,0,0.0,0.0,0.2,1,0.0
13,5,0,0.0,0.0,0.3,0,0.0
18,1,1,16.18,7.2,0.6,0,287.7
4,2,0,0.0,0.0,0.05,0,0.0
8,0,1,15.8,42.0,0.55,1,393.3
15,5,0,0.0,0.0,0.3,1,0.0
16,4,0,0.0,0.0,0.3,0,0.0
22,2,0,0.0,0.0,0.2,0,0.0
12,2,1,18.54,31.9,0.3,1,330.7
23,4,0,0.0,0.0,0.2,0,0.0
10,3,1,13.97,229.1,0.65,0,19.5
18,4,0,0.0,0.0,0.6,1,0.0
4,0,0,0.0,0.0,0.05,0,0.0
20,1,0,0.0,0.0,0.6,1,0.0
11,5,1,13.34,70.3,0.3,1,721.9
5,0,0,0.0,0.0,0.05,0,0.0
11,3,0,0.0,0.0,0.3,0,0.0
22,1,0,0.0,0.0,0.2,0,0.0
23,6,0,0.0,0.0,0.2,0,0.0
18,1,0,0.0,0.0,0.6,0,0.0
17,3,0,0.0,0.0,0.3,0,0.0
3,6,0,0.0,0.0,0.05,0,0.0
8,3,1,19.49,46.0,0.65,1,527.1
2,2,1,19.54,160.2,0.05,0,334.5
10,2,1,19.16,6.5,0.65,1,459.5
2,5,0,0.0,0.0,0.05,1,0.0
18,1,1,18.06,79.3,0.6,1,251.9
7,4,0,0.0,0.0,0.2,0,0.0
0,3,0,0.0,0.0,0.05,0,0.0
22,0,0,0.0,0.0,0.2,0,0.0
3,5,1,18.86,16.4,0.05,0,332.5
12,1,1,13.14,4.8,0.3,0,267.6
15,5,1,17.34,3.4,0.3,1,569.9
1,6,0,0.0,0.0,0.05,0,0.0
23,5,0,0.0,0.0,0.2,1,0.0
6,4,0,0.0,0.0,0.2,0,0.0
20,4,1,6.0,19.9,0.6,0,922.6
21,3,1,16.74,33.6,0.6,0,407.9
23,6,0,0.0,0.0,0.2,0,0.0
12,2,0,0.0,0.0,0.3,1,0.0
22,6,0,0.0,0.0,0.2,1,0.0
1,6,1,16.0,62.1,0.05,0,485.1
21,5,0,0.0,0.0,0.6,1,0.0
7,0,0,0.0,0.0,0.2,0,0.0
10,0,1,15.96,14.2,0.55,0,225.4
12,2,0,0.0,0.0,0.3,0,0.0
11,2,1,22.28,52.3,0.3,1,346.2
22,4,0,0.0,0.0,0.2,0,0.0
0,3,0,0.0,0.0,0.05,0,0.0
8,4,1,10.69,45.3,0.65,1,101.5
15,6,0,0.0,0.0,0.3,0,0.0
